"","rab.all","rab.win.BSH- VEHICLE","rab.win.BSH+ VEHICLE","rab.sample.41L","rab.sample.41N","rab.sample.42L","rab.sample.42N","rab.sample.43L","rab.sample.43N","rab.sample.44L","rab.sample.44N","rab.sample.45L","rab.sample.45N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K03980: murJ; mviN",0.834215582415666,0.991041346042026,0.709823529216521,0.853393921207191,-0.359466473735591,1.02272580338406,-1.37295630376703,1.87501288779057,1.21025829548206,2.16508015061663,0.82448622554258,2.42025885118144,-1.46774453194068,2.03565415478205,1.18576911796785,0.896558831040176,-0.672640678284125,-0.60903429999772,-4.85321722436485,0.586577620210187,5.01742595442885,1.04997696298792,0.608068070302267,-0.205415732903366,2.59863522731339,-0.0637010852520228,-6.7557856463833,4.54232754033032,0.4492979823089,0.785881849698063,1,0.744777064073697,1
"K03981: dsbC",-4.10484014560259,-4.43261726738425,-3.78588897523087,-5.24118080400737,-4.7881309192441,-4.38060405320901,-1.44859936410088,-5.50523380914962,-5.52860753197742,-5.91539921713092,-5.70443910885737,-2.2059595825227,-4.2203327517705,-5.25915889500687,-4.81866914986876,-5.41625948081965,-0.487192167336345,-5.7742315762481,-4.55689757008133,0.0285642295850348,-4.73644892526731,-4.51532516589735,-0.872273519049124,0.911927842538097,4.84371899596093,0.198769950449543,-4.03058477552843,5.01234923778877,0.405616244498843,0.593336569597364,1,0.53329086741432,1
"K04013: nrfB",-4.63594720644136,-4.87725044684343,-4.35785340816654,-5.63971834711105,-4.45149029850161,-4.37881447191102,-1.49567997257282,-6.26329387516631,-5.50613873813614,-5.52373975876244,-5.28321413819885,-5.06056027227007,-4.640848260649,-5.09746185172443,-5.01370127509651,-5.08768039991518,-0.758831036512093,-5.3821028018787,-4.9876843992104,-5.79845921356151,-4.79577086814109,-4.89775080904907,-0.991410575194593,0.650571442230097,4.65266845964924,0.116283915053204,-3.52260267593462,4.78716810947409,0.425897051248237,0.655038713326461,1,0.609765379744095,1
"K04014: nrfC",-2.87667384255299,-2.53665764623627,-3.34323084906942,-5.59278052566298,-4.20602271871949,-1.56278581812188,-1.03942290745452,-3.28408049046483,0.0715366440983303,-2.47972419433012,-5.33262839633561,-1.56483590860741,-4.58300691156435,-4.6718604824706,-4.92738947662688,-4.66944352811536,-0.0695771051015219,-5.54426039501794,0.160524371219005,-6.15182741401823,-5.53922389588796,-2.14384670548362,-0.729737397594555,-0.357445645627863,4.41741234896424,-0.0621709255715205,-5.5739210194818,2.78322882657797,0.468018727261793,0.659705590983986,1,0.760500673861742,1
"K04015: nrfD",-3.33089700718933,-3.48477723018675,-3.19026857031456,-5.21189119531814,-4.43750726321272,-4.60127894756253,-0.618195118184039,-5.85983678808392,-0.832685464561797,0.304210605597159,-2.92879686947775,-5.26663252333444,-4.72355327729568,-4.84828278200296,-5.03005978195016,-1.86237300680002,0.0782021417611576,-5.33259496298969,-4.8451747339658,-0.203334589113654,-5.15442172227331,-5.01433570011218,-0.945174835791724,0.19743102994427,5.0387852126255,0.0365895026195103,-3.59210650381193,3.02591485683178,0.481250003820066,0.784114960259195,1,0.791869834403213,1
"K04016: nrfE",-3.77200515782087,-4.25721458954286,-2.99903089420476,-5.89098096777017,-4.63983899149808,-5.10631071063526,0.418282405641813,-6.0864089495562,-3.07355039435047,-5.55177706154519,-2.84937786039948,-5.61433909668521,-4.44262333018671,-4.735569336874,-5.09093645518841,-4.73000901480716,0.495344455636479,-5.11757698753557,-5.48238305411785,0.19132556658273,0.859198205596202,-4.83728922069145,0.928564073449566,1.93695462048124,5.3758876003293,0.304777987515083,-3.35007639731964,5.64772430694731,0.357812531473309,0.419298125303783,1,0.354414741605144,1
"K04017: nrfF",-4.66385629608245,-4.987249234224,-4.35911437523561,-5.75162774434431,-4.55428043226289,-4.93300578417172,-0.820337653460423,-5.74800989177307,-5.78200234191949,-5.15577393699398,-5.47376018949931,-5.34656699097602,-5.30137058137182,-5.32166095803533,-4.74262372077774,-4.8844464866488,-2.61423640827749,-5.32513865260711,-4.50851008123348,-5.47688787872994,-4.52886746647736,-5.13070956066972,-3.42572047526739,0.23850146601556,4.2709552290941,0.0399647825442468,-3.61008314147939,4.32947071329366,0.474258975593382,0.708519321685223,1,0.682418128504622,1
"K04018: nrfG",-4.82599274226693,-4.73243138259047,-4.89185087723128,-5.59594567427142,-4.62013171241219,-4.54311468539738,-1.70289682068187,-5.95701644696688,-4.63933851165438,-5.48696656498659,-5.22862718580816,-5.42397470647275,-4.33394476490719,-5.08240131690402,-5.1283702503397,-4.86406970852216,-1.87941868910132,-5.51047905855658,-5.13454091522713,-5.80727769063722,-4.92623302823512,-4.3516328555799,-6.68848955558132,-0.0813931958380643,4.42300702572808,-0.0137170374232495,-3.5377596373257,3.76313365107888,0.490625001908018,0.723765236334704,1,0.770144474333716,1
"K04019: eutA",0.268609856199065,0.137981278499777,0.373652510923662,0.188634720834434,0.620783546775819,0.689268987715474,-0.246786355949284,-0.46800156158538,-0.864426637302993,-1.42203667940586,0.414526615256063,1.49461695942594,0.772548343880871,2.65520879634536,2.08923566748939,0.313845339200212,-0.538996851524949,0.529117562713385,-1.62551708025709,0.350911446874228,-1.37190301141067,1.06215596629161,0.379562089584451,0.293392877202864,1.74092448602276,0.162761269142231,-3.2449311069993,4.38746196938823,0.428125014931539,0.652568909217545,1,0.648602582595423,1
"K04020: eutD",-4.31567139439579,-4.36833885504481,-4.26867735747003,-5.74353970922231,-4.53645954091086,-5.01557915886807,-0.512668630238633,-5.7116543120389,-5.54992918864149,-0.89762722800161,-5.83848696286148,-4.80859707389572,-4.31616622353807,-5.10303636569511,-4.85696395549106,-5.50255622078507,-0.141219005098468,-5.25033094135785,-4.9677839049651,-6.04971447695017,-4.85786222547985,-4.63067072767222,-1.11145689669287,0.031201707507595,4.89933337484931,0.0051341022675327,-3.69473521455236,3.86268653748067,0.497659906870875,0.766068071308344,1,0.777789946605252,1
