"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ VEHICLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.51L","rab.sample.51N","rab.sample.52L","rab.sample.52N","rab.sample.53L","rab.sample.53N","rab.sample.54L","rab.sample.54N","rab.sample.55L","rab.sample.55N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K15536: cybC",-4.42019255627913,-4.43940136547102,-4.40026388836525,-3.99903751048234,-5.00864464880527,-4.56209980983184,0.335390964272639,-4.27586109911785,-4.80522477157924,-4.92254037986264,-5.32657706456276,-4.67373429545805,-4.91217515346297,-5.20900483312676,-5.24707986187948,-5.04354902671648,-1.35120867101978,-5.29075569119983,-4.98425318842308,-5.9398489980336,-4.59577285352965,-5.06726364278968,-0.872350087139349,0.104401078219713,4.79685382651698,0.0121855667869521,-3.59055199251476,3.77661288576879,0.492187501589844,0.777297051381197,1,0.77329618185607,1
"K15538: MANEA",1.48479335638606,1.15634902170276,1.97056505835758,1.41265602088465,-0.577632817959577,-4.54166499052062,-1.59316610280684,4.0218045681888,1.79141441768876,1.40665048465039,1.29249604555721,1.4534041880303,0.668608951453351,2.2102004084144,-1.09692306581752,1.64762823498959,1.61728833174255,0.750928753904178,0.356058065158301,2.40783699002738,4.44328266497544,5.1767508941332,3.74144442017626,1.22874276570983,3.00073600578333,0.419544572906867,-2.11484686170601,7.36681231252028,0.289062552207008,0.132249950092429,1,0.124136107217086,1
"K15539: rodZ",-1.80749828149669,-1.91769351961485,-1.75939854518702,-3.84443976498626,-5.58311759835255,-1.5231810489283,1.31376458667072,1.07229210276828,-3.77867317010594,-2.60660024895058,-0.148903951336214,-4.89894779814755,-1.5009846191507,-4.65501940199566,-0.821889159706567,-5.34946264458548,-0.861248826376004,-1.55749437451314,-4.13797727674643,-1.92550044657979,-5.49283216602624,0.231409537863508,0.387875920133521,-0.182568623161819,4.32500497070894,-0.0381217968406604,-3.88243041248132,3.93693839823762,0.480499223929895,0.781171244965983,1,0.807680890607071,1
"K15540: ecpD",-3.97963182282032,-4.24070904243062,-3.72590720471987,-3.44146728005968,-5.80028457627147,-4.7133077422351,0.488320429866503,-4.29041360060697,-4.41262227038334,-4.87298631221651,-4.64336146388763,-4.61574836998648,-4.39122689478802,-5.22757133939712,-5.24410859410394,-5.11077243369747,-1.37352780066631,-5.63877395110854,-5.31188278823067,-1.00701696814087,-4.50021566784483,-4.53750856170225,-2.24757267390493,0.248234317117754,4.49782518888543,0.0507065268484163,-4.55447503180518,3.72487368143987,0.475819037677096,0.749802015127753,1,0.710302794631839,1
"K15545: mlc",-4.28686196420599,-4.31635905900873,-4.20898348772993,-3.88158831853577,-5.3387893865218,-4.76618790642771,1.36577123674447,-4.35317746183827,-4.468007073589,-5.0736782542621,-4.91230130688641,-4.00827957151859,-4.82569070072934,-4.89870210887346,-4.66384406975588,-5.34325507097097,-1.42368441677292,-5.49087280055796,-4.95047025024869,-5.86148132476333,-4.93323633647743,-4.36864111762238,-0.646100551658312,-0.0376552918427908,4.95179487279329,-0.00787833134979821,-4.03239885796786,3.60290643993022,0.496875000635807,0.735309220209826,1,0.779178940738055,1
"K15547: mdtO",-3.6211975145637,-4.05082144204128,-2.94617248106028,-4.00217102395576,-5.65102358905819,-5.37023533808434,3.1339757287819,-4.41345990354561,-4.27070898123295,-4.83583954443711,-1.88371147969898,-5.05456480653935,-5.15481384268595,-4.98450296111402,-5.06460401956577,-5.38663637639849,0.637665169631026,-0.471528750090746,-5.43841650719788,0.79287982225753,-5.37077600431487,-4.42175726978086,0.740897209279479,1.50594099408151,5.72463543721876,0.213962729847902,-3.23673465798955,4.08100036891955,0.409375019063967,0.598561724769213,1,0.500179459665721,1
"K15548: aaeA",-4.0821966884517,-4.38425353953064,-3.61441763278287,-4.40508484761637,-5.85334268405859,-4.7407039268674,1.60428528284123,-4.18986758427706,-4.19703918371069,-4.99440213791233,-5.20985131935244,-4.95796983056892,-4.79707071591383,-5.20264587791035,-4.98055731495918,-4.88544744313311,-0.56901528501395,-4.991097727245,-4.79800669195083,-0.141314926678929,-4.45526502206725,-4.64275786725676,-0.860377308173486,0.838393969114556,4.8982415586974,0.168395776811982,-3.66878442699749,4.41953336021306,0.426562515270299,0.638812907299656,1,0.594235099266059,1
"K15549: mdtN",-3.70870912144783,-4.32009888395609,-2.72630516297187,-3.41674534549038,-5.92231382258359,-4.85394846448763,2.35526249384774,-4.19333756969163,-4.23384503878504,-4.84964942232479,-4.69934157787722,-4.46910925446609,-5.027314255694,-4.80561891882145,-5.19761467098571,-4.58145441830825,0.0371785328083378,-1.21211530347723,-4.99702200376956,0.0272437561151921,-4.12198267390451,-4.90273950774795,0.429255052486621,1.64689768876574,5.03684003784156,0.263175422453661,-3.76129339016124,6.51703757866064,0.389062523738901,0.522940854225574,1,0.433927890027929,1
"K15550: mdtP",-4.07606641978171,-4.39208752852799,-3.66866597885712,-3.89321510955966,-5.68662813735756,-4.45209785904369,3.3958872122512,-4.35016556129425,-4.3548067375391,-5.29084938970781,-4.95831750475089,-5.05226853345394,-4.60621275678467,-5.26814230321754,-4.80700357781816,-4.83399689718359,0.817640749158907,-5.33150070079068,-5.32533351979082,0.43766962878173,-4.91361208940581,-4.79672458891848,1.04062894895072,1.01444781916786,5.88431444771933,0.146263861843163,-3.65470882887599,4.25353878184084,0.425897051248237,0.626252502374798,1,0.569560748365412,1
"K15551: tauA",-3.96808012962872,-4.21867948453846,-3.6921784395305,-3.82648052847069,-4.89839014827206,-4.73356650400622,1.82188921805249,-4.28601241792896,-3.62884896444409,-4.62429867163448,-4.96600428545688,-4.72528145404655,-4.66120968534873,-4.45544053897989,-5.32835677927072,-5.13231510053334,-1.24843414313229,-5.13657637870565,-4.7160625367001,0.086714122292495,-4.76653142020309,-4.90319461126257,-0.0596245817713488,0.602508335812512,5.10628480723957,0.102117984715906,-3.65862135036232,3.87736973184887,0.445312511260904,0.687049930260273,1,0.635496022456646,1
"K15552: tauC",-4.3884627518888,-4.36057654497804,-4.41954919348667,-4.64146801807276,-5.24828394513055,-5.38714411044457,1.65317550116613,-4.47086291809628,-4.35387717474737,-5.27160559791153,-4.72534245115687,-4.27336480074127,-4.34642081075124,-5.21748126286976,-5.19262872968676,-5.50338787690463,-3.49226730779617,-5.2628623153912,-5.28674023233625,-5.90568035913712,-4.46580061429226,-4.4321860152753,-0.666713589872684,-0.204586297918876,4.81821514859765,-0.046054116903569,-4.68546947327652,3.1922967991859,0.475819037677096,0.696831441057072,1,0.742558005558683,1
"K15553: ssuA",1.84306567114039,2.12861731977859,1.28285759073076,1.06866812981963,2.18046004630052,2.02238973097784,1.21279033575032,4.16251060636898,0.587638197207966,1.7620574812277,4.03272153700302,3.59961716613993,3.18289396737921,3.22005658510225,2.18516935360575,0.0946490099084691,-0.950488311358486,1.30921640165174,0.812480147230147,0.799974257148803,5.00240628900448,2.34980359729729,1.17785195132467,-0.801305464949428,2.13372262924534,-0.336334814216689,-5.40513718878151,2.5588472204721,0.334375037849555,0.286901331539239,1,0.268554032074736,1
"K15554: ssuC",1.18321841126728,2.1170028880269,0.0972931996869484,1.0793268054809,3.15859256233071,2.68797690705095,2.17859779541828,0.166362217708253,0.886153099226163,2.78492930158358,1.73792041764648,3.30714536150399,0.85819350506617,-1.69970153451007,3.52751416742963,3.58172539438821,-0.903668070251465,-0.795367783833671,1.85807260024142,-0.487112978711668,-0.177999016174494,0.817853443890339,0.160962493839754,-1.5569053602099,2.27521055297556,-0.607189269093022,-6.49299018966111,2.44740059112354,0.287051534818547,0.098313925247981,1,0.120303941414623,1
"K15555: ssuB",3.11142688194594,3.86682696249991,2.48607095592716,2.42981721263481,4.01901269639625,3.72026078343028,0.227826100527912,4.49332365023786,1.54021170946382,4.00391923779477,4.45870584897197,4.33418200827889,2.29135472849183,3.3946158096092,4.65160763483856,4.31235738914777,-0.697261273356261,1.88796358517963,2.77323719326814,-0.911451558874294,5.19755704562067,2.10044054401628,1.47134622100851,-0.585312195290095,2.73378062243248,-0.220921616113116,-5.34755536627559,2.69436670697811,0.416536678879364,0.390064377492269,1,0.550337421382797,1
"K15580: oppA; mppA",5.18242077812794,5.49047031757807,4.13926732941523,5.77676903312915,6.01004272748412,5.66329505139723,3.66238507341787,5.23810866520214,4.81102687685563,6.37929668233653,4.7854005088563,5.32165496313579,5.68592248618229,2.79335065476588,5.17669192176971,5.83384263650992,3.53932697821369,4.66781392336081,5.41592187563186,3.54995148106704,5.7368523282748,2.7097698980471,2.33716681317802,-1.07009226216157,1.65536005783381,-0.691232888779898,-8.95043028989008,1.74092455612158,0.248437568526992,0.0340630051967691,1,0.0575635906276386,1
"K15581: oppB",3.44381333483664,3.76790850033946,2.10705844077662,3.69225463527732,4.10519003490233,4.04425194099159,0.96000999379155,3.28753933629232,2.48479575892175,4.36095676640952,3.56629233215919,4.22625646540321,3.77553085859963,1.24331291909307,3.50955211741701,3.65390041430106,1.38588678257364,2.28641836208479,3.44366557380303,1.76157840383015,4.17913185598968,1.8700703632549,0.775277494916325,-1.03104475167596,1.75135637637534,-0.665741077609283,-8.28317242485528,1.98088027646835,0.232449374006753,0.0558408522562192,1,0.0637416714477473,1
