"","rab.all","rab.win.BSH- LETROZOLE","rab.win.BSH+ LETROZOLE","rab.sample.46L","rab.sample.46N","rab.sample.47L","rab.sample.47N","rab.sample.48L","rab.sample.48N","rab.sample.49L","rab.sample.49N","rab.sample.50L","rab.sample.50N","rab.sample.56L","rab.sample.56N","rab.sample.57L","rab.sample.57N","rab.sample.58L","rab.sample.58N","rab.sample.59L","rab.sample.59N","rab.sample.60L","rab.sample.60N","diff.btw","diff.win","effect","effect.low","effect.high","overlap","we.ep","we.eBH","wi.ep","wi.eBH"
"K07741",2.36539804945031,2.13076344527468,2.5162302731908,2.14932230994851,2.64137291557839,1.40167490675898,-0.692541611164684,3.60691457391641,1.87743246123475,2.33146952771538,2.43697525293155,1.03179734127682,2.15949812945468,2.88547763369044,2.24036574970753,2.31808890881002,2.57558641270279,2.77196997096648,2.42315163413256,2.53039043403661,1.68925863704893,3.89511847546564,2.41598549126187,0.469198994979997,1.20873272047896,0.374389791080819,-2.17005863425953,7.15867491337539,0.304212215386909,0.1449196105112,1,0.155033361568772,1
"K07742",2.51884373406507,2.60316658316176,2.398206979438,2.2281434816229,3.16608874953489,3.59708581705908,-1.40787318821579,-4.39191243764633,3.27267876933456,2.76435673500577,2.82928559380978,2.26076992968616,0.453724909856478,2.13120497716608,1.94893088039903,2.67193499210263,2.75667276123592,-0.486119700257756,1.2465176823741,2.82332714898023,3.14307642179023,0.714236747580932,2.91372910979514,-0.126797857102108,2.37467826903468,-0.0423253046819181,-5.09772159704808,9.37063437082528,0.466458665179807,0.601928188999595,1,0.788507798799498,1
"K07749",-4.54663948316537,-4.28323438127914,-4.85197502302912,-3.76023819497754,-5.39657612741753,-4.73352789238486,1.29110042033753,-4.25395793359307,-4.48928734857846,-4.79545586418402,-5.7032492046436,-4.34807423098894,-5.06291802632819,-3.95441483514176,-4.47709915144158,-5.1478634228922,-4.03493879805308,-5.96769022342643,-4.49872781100717,-4.714423579918,-3.84687884585441,-5.42939371072086,-5.70416069043305,-0.463858407789184,4.76720055687405,-0.08099895806527,-5.11704042793461,3.48579518819837,0.4492979823089,0.582262306356719,1,0.632486563359241,1
"K07751",-4.28879353422768,-4.23931124720227,-4.32962467703925,-3.86092534750741,-5.32449463553966,-4.87224473761214,1.57970761937988,-4.59862748046289,-4.122173679948,-4.53263029787466,-4.98798985524303,-4.91417209473361,-4.65730648788435,-3.97636274660277,-4.65677795868882,-4.44237847889746,-4.66350391597432,-2.94060946484602,-4.1403054287773,-4.52594583606986,-4.55921216860457,-5.33474263998927,-5.18422795965426,-0.197507198755464,4.72438880205001,-0.0321007423995305,-4.87135973822692,3.67847752435388,0.485937502863285,0.694616331296842,1,0.73539543370716,1
"K07757",-4.62291768599393,-4.35718132457463,-4.77512231709949,-4.31575483799731,-5.75114820569357,-5.06667960786322,0.359294617396626,-4.34552159483099,-4.08610309542735,-4.75676010072791,-4.9776924935143,-4.58784102906798,-4.32132700355641,-4.60546623067742,-4.46148815522707,-4.93925650968668,-4.02652056015856,-5.92196856151824,-4.26641436396068,-4.84328546810549,-4.01194719521796,-5.48245159573353,-5.42316797051492,-0.349528813566211,4.54818900037265,-0.0617336136967678,-4.94763055961517,3.4588277597435,0.463338541017067,0.628235593620534,1,0.65314091626253,1
"K07771",-4.40557349288958,-4.42186991163874,-4.39198893563244,-4.16679337719025,-5.6829007077023,-4.91743293428435,1.0096861072647,-4.52775597695509,-4.00059127907605,-5.55298208361062,-5.11073443206189,-4.26971007635585,-4.99312639792623,-1.23875538019151,-4.34213092586793,-5.12336744632429,-3.65212963001892,-6.34114917134421,-4.07062595820045,-4.75704951752626,-4.12571672904432,-5.07855074432267,-5.56422700455509,0.0172257533843787,4.76522956305051,0.00371065254328428,-3.97650902788025,3.52024276331992,0.496875000635807,0.726890932844208,1,0.769846023268527,1
"K07772",-4.3835606279471,-4.47157252103826,-4.28900359184682,-4.16825335365992,-5.19457171387446,-4.93701404847942,0.495509035686466,-4.77873815560625,-4.5146258547327,-5.64312231133264,-5.02923156435806,-4.62102687301686,-4.89786919525716,-4.44773361589301,-4.30169678194757,-4.84723993429942,-3.79153605820763,-0.62023719563626,-4.32960446436711,-4.8121481655713,-5.01589974633162,-5.58396512787166,-5.47944519602154,-0.162206530233492,4.77242939308587,-0.0290417967011046,-3.92610941732254,3.91769844393523,0.484375003182019,0.759668442817007,1,0.761989123492607,1
"K07773",-4.57847416984715,-4.34296607969109,-4.82576617897336,-3.85139848287448,-5.03924735015181,-4.71721742361781,1.41951438921064,-4.40882137586639,-4.21793970040961,-4.91617743063559,-5.20338877192378,-4.75245958758005,-4.60351245653083,-4.35585772088811,-4.59052544894145,-4.82710297047633,-4.41648629627692,-5.40575551143976,-4.37180613327261,-4.74721034623991,-4.50290927857523,-5.02656675092855,-5.23123043400382,-0.604032354462545,4.46293254911756,-0.121419472800557,-4.41457849854974,3.64522260024538,0.435937513251067,0.597798235282169,1,0.651935187490528,1
"K07775",4.33069575803842,4.56242703516009,3.95476353176279,4.82016739306818,5.07930660849004,5.10517080927361,-0.15207208063185,2.2107587332473,4.36882950427985,4.82414418450718,4.51733157170732,4.61891106044029,2.77857472010857,4.05216745982924,2.79137881796565,4.56103854466182,4.29144380757403,2.06731651429753,2.45357671161077,4.97373570802571,3.81697048455178,3.83223930667049,5.27996402927631,-0.361476481488424,1.99587160471218,-0.150922544643262,-4.51582066315504,5.86174351145537,0.406250019768453,0.959080187129545,1,0.545673415207084,1
"K07781",-4.66317156680665,-4.36670936022223,-4.97991948017779,-3.61592119585667,-5.39282252817261,-4.77815973515783,0.209886021724865,-4.64619790882548,-4.35641039857055,-4.82114253763893,-5.14274964707384,-4.7557250818905,-4.87838451557587,-4.50487886152965,-4.10231950966786,-4.77837953097937,-5.33296416991366,-6.2881780186965,-4.74746208788234,-4.95340242938018,-4.40278551252359,-5.36976616838706,-5.1456711580315,-0.618661395253987,4.52834305619647,-0.121373748742018,-4.40109605540685,3.07273363747399,0.437500012917482,0.576730963172916,1,0.603275908495529,1
